CardID,CardName,ExpirationDate,CardCVV,Balance
7410138984621661a,Deborah Weiss,26/12,447a,12309
9468265908327577a,Samantha Galvan,30/10,815a,5432
7404018890571703a,Bianca Werner,26/09,610a,8765
5035767197529246a,Matthew Kim,30/04,316a,12908
6404897230066381a,Lisa Dawson,27/10,637a,4321
0837455426281954a,Richard Zimmerman,25/09,294a,7654
0348558724811530a,Sheila Schaefer,25/04,747a,10987
1270643907852945a,Danielle Richmond,28/01,126a,3210
2297181434632773a,Kevin Andrews,30/02,818a,8765
1012190909528142a,Alyssa Vaughn,25/09,323a,14235
4182409170839443a,Tanya Reed,26/06,564a,5678
0506231258963123a,Jessica Bradley,25/01,823a,9321
5196525180389655a,Kevin Bryant,26/11,752a,12345
0869500708433190a,Nicholas Rivera,26/01,095a,7890
6834649023790133a,Gregory Anderson,28/08,029a,11234
7704699448540686a,James Clayton,29/12,031a,13579
6619988766228899a,Jeffrey Quinn,25/07,893a,5432
5422680957718098a,Christina Simpson,26/10,956a,8765
7920275887330379a,Monica Carroll,30/09,107a,10987
6445733423826684a,Patrick Frazier,28/10,797a,3214
6577299298496111a,Susan Carter,30/09,967a,7654
2124960396182560a,Karen Reyes,27/03,077a,9876
4659635401323679a,Heather Martin,29/11,361a,12309
6930066622765285a,Katherine Rodriguez,26/05,729a,5432
7788998427323749a,Eric Kemp,28/09,160a,8765
8591485909530677a,Linda Suarez,28/06,884a,12908
1645611377911401a,Raymond Murphy,27/12,025a,4321
7526242190142509a,Michael Mccarty,28/04,141a,7654
1767856473364995a,Daniel Barry,26/10,282a,10987
5788253267984884a,John Mooney,30/07,777a,3210
8274927546470650a,Gregory Fleming,28/02,172a,8765
9389714673086416a,Jared Flores,29/07,641a,14235
7516200951345151a,Jasmine Brandt,27/09,799a,5678
3080773034742906a,Randy George,26/05,220a,9321
7804342247250615a,Kathleen Harper,30/09,970a,12345
4850016643548274a,Samantha Davis,30/12,744a,7890
4483992155024814a,Christine Alvarez DDS,27/08,882a,11234
9766043268280609a,Valerie Burns,27/10,406a,13579
3855200883497898a,Katherine Jackson,29/01,226a,5432
